:START_ID,:END_ID,:TYPE
130926,130900,BELONGS_TO
130900,130926,CONTAINS
130927,130900,BELONGS_TO
130900,130927,CONTAINS
130928,130900,BELONGS_TO
130900,130928,CONTAINS
130929,130900,BELONGS_TO
130900,130929,CONTAINS
130930,130900,BELONGS_TO
130900,130930,CONTAINS
130981,130900,BELONGS_TO
130900,130981,CONTAINS
130982,130900,BELONGS_TO
130900,130982,CONTAINS
130983,130900,BELONGS_TO
130900,130983,CONTAINS
130984,130900,BELONGS_TO
130900,130984,CONTAINS
131000,130000,BELONGS_TO
130000,131000,CONTAINS
131002,131000,BELONGS_TO
131000,131002,CONTAINS
131003,131000,BELONGS_TO
131000,131003,CONTAINS
131022,131000,BELONGS_TO
131000,131022,CONTAINS
131023,131000,BELONGS_TO
131000,131023,CONTAINS
131024,131000,BELONGS_TO
131000,131024,CONTAINS
131025,131000,BELONGS_TO
131000,131025,CONTAINS
131026,131000,BELONGS_TO
131000,131026,CONTAINS
131028,131000,BELONGS_TO
131000,131028,CONTAINS
131081,131000,BELONGS_TO
131000,131081,CONTAINS
131082,131000,BELONGS_TO
131000,131082,CONTAINS
131100,130000,BELONGS_TO
130000,131100,CONTAINS
131102,131100,BELONGS_TO
131100,131102,CONTAINS
131103,131100,BELONGS_TO
131100,131103,CONTAINS
131121,131100,BELONGS_TO
131100,131121,CONTAINS
131122,131100,BELONGS_TO
131100,131122,CONTAINS
131123,131100,BELONGS_TO
131100,131123,CONTAINS
131124,131100,BELONGS_TO
131100,131124,CONTAINS
131125,131100,BELONGS_TO
131100,131125,CONTAINS
131126,131100,BELONGS_TO
131100,131126,CONTAINS
131127,131100,BELONGS_TO
131100,131127,CONTAINS
131128,131100,BELONGS_TO
131100,131128,CONTAINS
131182,131100,BELONGS_TO
131100,131182,CONTAINS
140000,000000,BELONGS_TO
000000,140000,CONTAINS
140100,140000,BELONGS_TO
140000,140100,CONTAINS
140105,140100,BELONGS_TO
140100,140105,CONTAINS
140106,140100,BELONGS_TO
140100,140106,CONTAINS
140107,140100,BELONGS_TO
140100,140107,CONTAINS
140108,140100,BELONGS_TO
140100,140108,CONTAINS
140109,140100,BELONGS_TO
140100,140109,CONTAINS
140110,140100,BELONGS_TO
140100,140110,CONTAINS
140121,140100,BELONGS_TO
140100,140121,CONTAINS
140122,140100,BELONGS_TO
140100,140122,CONTAINS
140123,140100,BELONGS_TO
140100,140123,CONTAINS
140181,140100,BELONGS_TO
140100,140181,CONTAINS
140200,140000,BELONGS_TO
140000,140200,CONTAINS
140212,140200,BELONGS_TO
140200,140212,CONTAINS
140213,140200,BELONGS_TO
140200,140213,CONTAINS
140214,140200,BELONGS_TO
140200,140214,CONTAINS
140215,140200,BELONGS_TO
140200,140215,CONTAINS
140221,140200,BELONGS_TO
140200,140221,CONTAINS
140222,140200,BELONGS_TO
140200,140222,CONTAINS
140223,140200,BELONGS_TO
140200,140223,CONTAINS
140224,140200,BELONGS_TO
140200,140224,CONTAINS
140225,140200,BELONGS_TO
140200,140225,CONTAINS
140226,140200,BELONGS_TO
140200,140226,CONTAINS
140300,140000,BELONGS_TO
140000,140300,CONTAINS
140302,140300,BELONGS_TO
140300,140302,CONTAINS
140303,140300,BELONGS_TO
140300,140303,CONTAINS
140311,140300,BELONGS_TO
140300,140311,CONTAINS
140321,140300,BELONGS_TO
140300,140321,CONTAINS
140322,140300,BELONGS_TO
140300,140322,CONTAINS
140400,140000,BELONGS_TO
140000,140400,CONTAINS
140403,140400,BELONGS_TO
140400,140403,CONTAINS
140404,140400,BELONGS_TO
140400,140404,CONTAINS
140405,140400,BELONGS_TO
140400,140405,CONTAINS
140406,140400,BELONGS_TO
140400,140406,CONTAINS
140423,140400,BELONGS_TO
140400,140423,CONTAINS
140425,140400,BELONGS_TO
140400,140425,CONTAINS
140426,140400,BELONGS_TO
140400,140426,CONTAINS
140427,140400,BELONGS_TO
140400,140427,CONTAINS
140428,140400,BELONGS_TO
140400,140428,CONTAINS
140429,140400,BELONGS_TO
140400,140429,CONTAINS
140430,140400,BELONGS_TO
140400,140430,CONTAINS
140431,140400,BELONGS_TO
140400,140431,CONTAINS
140500,140000,BELONGS_TO
140000,140500,CONTAINS
140502,140500,BELONGS_TO
140500,140502,CONTAINS
140521,140500,BELONGS_TO
140500,140521,CONTAINS
140522,140500,BELONGS_TO
140500,140522,CONTAINS
140524,140500,BELONGS_TO
140500,140524,CONTAINS
140525,140500,BELONGS_TO
140500,140525,CONTAINS
140581,140500,BELONGS_TO
140500,140581,CONTAINS
140600,140000,BELONGS_TO
140000,140600,CONTAINS
140602,140600,BELONGS_TO
140600,140602,CONTAINS
140603,140600,BELONGS_TO
140600,140603,CONTAINS
140621,140600,BELONGS_TO
140600,140621,CONTAINS
140622,140600,BELONGS_TO
140600,140622,CONTAINS
140623,140600,BELONGS_TO
