START_ID,END_ID,TYPE
center_119,120105,LOCATED_AT
center_120,410103,LOCATED_AT
center_121,110106,LOCATED_AT
center_122,110112,LOCATED_AT
center_123,340303,LOCATED_AT
center_124,321102,LOCATED_AT
center_125,120111,LOCATED_AT
center_126,320404,LOCATED_AT
center_127,320412,LOCATED_AT
center_128,610104,LOCATED_AT
center_129,130208,LOCATED_AT
center_130,330402,LOCATED_AT
center_131,370303,LOCATED_AT
center_132,110106,LOCATED_AT
center_133,520103,LOCATED_AT
center_134,370100,LOCATED_AT
center_135,320102,LOCATED_AT
center_136,110102,LOCATED_AT
center_137,320115,LOCATED_AT
center_138,130208,LOCATED_AT
center_139,231224,LOCATED_AT
center_140,360403,LOCATED_AT
center_141,440114,LOCATED_AT
center_142,610502,LOCATED_AT
center_143,450703,LOCATED_AT
center_144,341221,LOCATED_AT
center_145,340122,LOCATED_AT
center_146,440118,LOCATED_AT
center_147,360803,LOCATED_AT
center_148,320623,LOCATED_AT
center_149,320303,LOCATED_AT
center_150,510104,LOCATED_AT
center_151,141102,LOCATED_AT
center_152,421000,LOCATED_AT
center_153,650100,LOCATED_AT
center_154,440304,LOCATED_AT
center_155,330105,LOCATED_AT
center_156,310105,LOCATED_AT
center_157,420103,LOCATED_AT
center_158,320500,LOCATED_AT
center_159,440311,LOCATED_AT
center_160,650109,LOCATED_AT
center_161,650100,LOCATED_AT
center_162,430922,LOCATED_AT
center_163,320311,LOCATED_AT
center_164,341000,LOCATED_AT
center_165,420602,LOCATED_AT
center_166,610103,LOCATED_AT
center_167,371002,LOCATED_AT
center_168,130502,LOCATED_AT
center_169,341021,LOCATED_AT
center_170,350400,LOCATED_AT
center_171,410727,LOCATED_AT
center_172,350103,LOCATED_AT
center_173,350403,LOCATED_AT
center_174,411702,LOCATED_AT
center_175,371702,LOCATED_AT
center_176,440309,LOCATED_AT
center_177,120116,LOCATED_AT
center_178,370303,LOCATED_AT
center_179,370831,LOCATED_AT
center_180,371402,LOCATED_AT
center_181,370104,LOCATED_AT
center_182,361003,LOCATED_AT
center_183,110111,LOCATED_AT
center_184,520115,LOCATED_AT
center_185,130425,LOCATED_AT
center_186,370811,LOCATED_AT
center_187,370214,LOCATED_AT
center_188,340111,LOCATED_AT
center_189,500000,LOCATED_AT
center_190,500108,LOCATED_AT
center_191,500000,LOCATED_AT
center_192,530602,LOCATED_AT
center_193,420504,LOCATED_AT
center_194,360203,LOCATED_AT
center_195,511602,LOCATED_AT
center_196,511504,LOCATED_AT
center_197,120111,LOCATED_AT
center_198,370112,LOCATED_AT
center_199,530102,LOCATED_AT
center_200,330300,LOCATED_AT
center_201,410103,LOCATED_AT
center_202,370303,LOCATED_AT
center_203,130404,LOCATED_AT
center_204,410102,LOCATED_AT
center_205,120116,LOCATED_AT
center_206,411303,LOCATED_AT
center_207,131028,LOCATED_AT
center_208,330105,LOCATED_AT
center_209,441900,LOCATED_AT
center_210,230506,LOCATED_AT
center_211,230103,LOCATED_AT
center_212,500103,LOCATED_AT
center_213,420602,LOCATED_AT
center_214,350123,LOCATED_AT
center_215,320115,LOCATED_AT
center_216,410302,LOCATED_AT
center_217,210106,LOCATED_AT
center_218,370303,LOCATED_AT
center_219,310112,LOCATED_AT
center_220,310117,LOCATED_AT
center_221,320506,LOCATED_AT
center_222,341200,LOCATED_AT
center_223,340403,LOCATED_AT
center_224,510106,LOCATED_AT
center_225,450107,LOCATED_AT
center_226,500106,LOCATED_AT
center_227,110106,LOCATED_AT
center_228,150404,LOCATED_AT
center_229,130600,LOCATED_AT
center_230,130111,LOCATED_AT
center_231,500243,LOCATED_AT
center_232,340209,LOCATED_AT
center_233,440802,LOCATED_AT
center_234,440106,LOCATED_AT
center_235,421022,LOCATED_AT
center_236,320800,LOCATED_AT
center_237,350500,LOCATED_AT
center_238,350503,LOCATED_AT
center_239,420102,LOCATED_AT
center_240,445200,LOCATED_AT
center_241,640122,LOCATED_AT
center_242,110108,LOCATED_AT
center_243,510108,LOCATED_AT
center_244,440105,LOCATED_AT
center_245,441900,LOCATED_AT
center_246,130900,LOCATED_AT
center_247,120103,LOCATED_AT
center_248,321200,LOCATED_AT
center_249,441900,LOCATED_AT
center_250,330106,LOCATED_AT
center_251,230103,LOCATED_AT
center_252,320115,LOCATED_AT
center_253,420500,LOCATED_AT
center_254,610803,LOCATED_AT
center_255,320312,LOCATED_AT
center_256,220105,LOCATED_AT
center_257,440605,LOCATED_AT
center_258,320312,LOCATED_AT
center_259,320312,LOCATED_AT
center_260,450103,LOCATED_AT
center_261,640302,LOCATED_AT
center_262,652900,LOCATED_AT
center_263,450107,LOCATED_AT
center_264,120111,LOCATED_AT
center_265,652300,LOCATED_AT
center_266,350122,LOCATED_AT
center_267,310114,LOCATED_AT
center_268,440606,LOCATED_AT
center_269,440606,LOCATED_AT
center_270,440606,LOCATED_AT
center_271,433123,LOCATED_AT
center_272,650100,LOCATED_AT
center_273,220100,LOCATED_AT
center_274,653100,LOCATED_AT
center_275,653100,LOCATED_AT
center_276,450921,LOCATED_AT
center_277,340111,LOCATED_AT
center_278,110108,LOCATED_AT
center_279,370112,LOCATED_AT
center_280,131128,LOCATED_AT
center_281,130638,LOCATED_AT
center_282,131102,LOCATED_AT
center_283,131102,LOCATED_AT
center_284,131102,LOCATED_AT
center_285,131102,LOCATED_AT
center_286,131026,LOCATED_AT
center_287,130500,LOCATED_AT
center_288,130407,LOCATED_AT
center_289,131000,LOCATED_AT
