nodeId:ID,name,level,:LABEL
540426,朗县,District,District
540500,山南市,City,City
540502,乃东区,District,District
540521,扎囊县,District,District
540522,贡嘎县,District,District
540523,桑日县,District,District
540524,琼结县,District,District
540525,曲松县,District,District
540526,措美县,District,District
540527,洛扎县,District,District
540528,加查县,District,District
540529,隆子县,District,District
540530,错那县,District,District
540531,浪卡子县,District,District
540600,那曲市,City,City
540602,色尼区,District,District
540621,嘉黎县,District,District
540622,比如县,District,District
540623,聂荣县,District,District
540624,安多县,District,District
540625,申扎县,District,District
540626,索县,District,District
540627,班戈县,District,District
540628,巴青县,District,District
540629,尼玛县,District,District
540630,双湖县,District,District
542500,阿里地区,City,City
542521,普兰县,District,District
542522,札达县,District,District
542523,噶尔县,District,District
542524,日土县,District,District
542525,革吉县,District,District
542526,改则县,District,District
542527,措勤县,District,District
610000,陕西省,Province,Province
610100,西安市,City,City
610102,新城区,District,District
610103,碑林区,District,District
610104,莲湖区,District,District
610111,灞桥区,District,District
610112,未央区,District,District
610113,雁塔区,District,District
610114,阎良区,District,District
610115,临潼区,District,District
610116,长安区,District,District
610117,高陵区,District,District
610118,鄠邑区,District,District
610122,蓝田县,District,District
610124,周至县,District,District
610200,铜川市,City,City
610202,王益区,District,District
610203,印台区,District,District
610204,耀州区,District,District
610222,宜君县,District,District
610300,宝鸡市,City,City
610302,渭滨区,District,District
610303,金台区,District,District
610304,陈仓区,District,District
610322,凤翔县,District,District
610323,岐山县,District,District
610324,扶风县,District,District
610326,眉县,District,District
610327,陇县,District,District
610328,千阳县,District,District
610329,麟游县,District,District
610330,凤县,District,District
610331,太白县,District,District
610400,咸阳市,City,City
610402,秦都区,District,District
610403,杨陵区,District,District
610404,渭城区,District,District
610422,三原县,District,District
610423,泾阳县,District,District
610424,乾县,District,District
610425,礼泉县,District,District
610426,永寿县,District,District
610428,长武县,District,District
610429,旬邑县,District,District
610430,淳化县,District,District
610431,武功县,District,District
610481,兴平市,District,District
610482,彬州市,District,District
610500,渭南市,City,City
610502,临渭区,District,District
610503,华州区,District,District
610522,潼关县,District,District
610523,大荔县,District,District
610524,合阳县,District,District
