:START_ID,:END_ID,:TYPE
expert_258,440600,LOCATED_AT
expert_259,110114,LOCATED_AT
expert_260,440600,LOCATED_AT
expert_261,440600,LOCATED_AT
expert_262,110106,LOCATED_AT
expert_263,110106,LOCATED_AT
expert_264,440300,LOCATED_AT
expert_265,110106,LOCATED_AT
expert_266,110106,LOCATED_AT
expert_267,320300,LOCATED_AT
expert_268,440111,LOCATED_AT
expert_269,440600,LOCATED_AT
expert_270,440600,LOCATED_AT
expert_271,440600,LOCATED_AT
expert_272,110114,LOCATED_AT
expert_273,440600,LOCATED_AT
expert_274,440600,LOCATED_AT
expert_275,120114,LOCATED_AT
expert_276,440600,LOCATED_AT
expert_277,500103,LOCATED_AT
expert_278,410100,LOCATED_AT
expert_279,410100,LOCATED_AT
expert_280,410100,LOCATED_AT
expert_281,441300,LOCATED_AT
expert_282,320100,LOCATED_AT
expert_283,441300,LOCATED_AT
expert_284,441300,LOCATED_AT
expert_285,500000,LOCATED_AT
expert_286,441300,LOCATED_AT
expert_287,441300,LOCATED_AT
expert_288,330100,LOCATED_AT
expert_289,500000,LOCATED_AT
expert_290,370200,LOCATED_AT
expert_291,500000,LOCATED_AT
expert_292,441900,LOCATED_AT
expert_293,410100,LOCATED_AT
expert_294,370200,LOCATED_AT
expert_295,370200,LOCATED_AT
expert_296,370200,LOCATED_AT
expert_297,500108,LOCATED_AT
expert_298,500108,LOCATED_AT
expert_299,500108,LOCATED_AT
expert_300,620100,LOCATED_AT
expert_301,370100,LOCATED_AT
expert_302,370100,LOCATED_AT
expert_303,370100,LOCATED_AT
expert_304,370100,LOCATED_AT
expert_305,620100,LOCATED_AT
expert_306,620100,LOCATED_AT
expert_307,620100,LOCATED_AT
expert_308,620100,LOCATED_AT
expert_309,620100,LOCATED_AT
expert_310,370500,LOCATED_AT
expert_311,370500,LOCATED_AT
expert_312,370500,LOCATED_AT
expert_313,370500,LOCATED_AT
expert_314,370200,LOCATED_AT
expert_315,370200,LOCATED_AT
expert_316,440100,LOCATED_AT
expert_317,440100,LOCATED_AT
expert_318,440100,LOCATED_AT
expert_319,440100,LOCATED_AT
expert_320,440100,LOCATED_AT
expert_321,370200,LOCATED_AT
expert_322,370200,LOCATED_AT
expert_323,130300,LOCATED_AT
expert_324,131000,LOCATED_AT
expert_325,410100,LOCATED_AT
expert_326,131000,LOCATED_AT
expert_327,131000,LOCATED_AT
expert_328,131000,LOCATED_AT
expert_329,131000,LOCATED_AT
expert_330,131000,LOCATED_AT
expert_331,110101,LOCATED_AT
expert_332,230100,LOCATED_AT
expert_333,230100,LOCATED_AT
expert_334,230100,LOCATED_AT
expert_335,230100,LOCATED_AT
expert_336,230100,LOCATED_AT
expert_337,230100,LOCATED_AT
expert_338,230100,LOCATED_AT
expert_339,230100,LOCATED_AT
expert_340,330100,LOCATED_AT
expert_341,330100,LOCATED_AT
expert_342,110108,LOCATED_AT
expert_343,110108,LOCATED_AT
expert_344,370611,LOCATED_AT
expert_345,370611,LOCATED_AT
expert_346,370611,LOCATED_AT
expert_347,370611,LOCATED_AT
expert_348,320100,LOCATED_AT
expert_349,320115,LOCATED_AT
expert_350,450100,LOCATED_AT
expert_351,450100,LOCATED_AT
expert_352,330300,LOCATED_AT
expert_353,330300,LOCATED_AT
expert_354,110108,LOCATED_AT
expert_355,110106,LOCATED_AT
expert_356,500103,LOCATED_AT
expert_357,500103,LOCATED_AT
expert_358,110107,LOCATED_AT
expert_359,500103,LOCATED_AT
expert_360,440300,LOCATED_AT
expert_361,320600,LOCATED_AT
expert_362,500103,LOCATED_AT
expert_363,440300,LOCATED_AT
expert_364,440300,LOCATED_AT
expert_365,460100,LOCATED_AT
expert_366,460100,LOCATED_AT
expert_367,460100,LOCATED_AT
expert_368,350100,LOCATED_AT
expert_369,340304,LOCATED_AT
expert_370,500112,LOCATED_AT
expert_371,500108,LOCATED_AT
expert_372,131100,LOCATED_AT
expert_373,131100,LOCATED_AT
expert_374,131100,LOCATED_AT
expert_375,320600,LOCATED_AT
expert_376,320600,LOCATED_AT
expert_377,320600,LOCATED_AT
expert_378,440111,LOCATED_AT
expert_379,440111,LOCATED_AT
expert_380,440111,LOCATED_AT
expert_381,440111,LOCATED_AT
expert_382,440111,LOCATED_AT
expert_383,440111,LOCATED_AT
expert_384,440300,LOCATED_AT
expert_385,440300,LOCATED_AT
expert_386,110114,LOCATED_AT
expert_387,440100,LOCATED_AT
expert_388,110108,LOCATED_AT
expert_389,210200,LOCATED_AT
expert_390,110108,LOCATED_AT
expert_391,440402,LOCATED_AT
expert_392,110105,LOCATED_AT
expert_393,110105,LOCATED_AT
expert_394,110105,LOCATED_AT
expert_395,110105,LOCATED_AT
expert_396,110105,LOCATED_AT
expert_397,410100,LOCATED_AT
expert_398,510100,LOCATED_AT
expert_399,410100,LOCATED_AT
expert_400,120103,LOCATED_AT
expert_401,420100,LOCATED_AT
expert_402,120103,LOCATED_AT
expert_403,120103,LOCATED_AT
expert_404,330100,LOCATED_AT
expert_405,110106,LOCATED_AT
expert_406,110106,LOCATED_AT
expert_407,110106,LOCATED_AT
expert_408,110106,LOCATED_AT
expert_409,430100,LOCATED_AT
expert_410,430100,LOCATED_AT
expert_411,430100,LOCATED_AT
expert_412,510100,LOCATED_AT
expert_413,110102,LOCATED_AT
expert_414,110105,LOCATED_AT
expert_415,440300,LOCATED_AT
expert_416,220100,LOCATED_AT
expert_417,220100,LOCATED_AT
expert_418,110108,LOCATED_AT
expert_419,110108,LOCATED_AT
expert_420,110108,LOCATED_AT
expert_421,230100,LOCATED_AT
expert_422,210700,LOCATED_AT
expert_423,210700,LOCATED_AT
expert_424,440500,LOCATED_AT
expert_425,210700,LOCATED_AT
expert_426,210700,LOCATED_AT
expert_427,210700,LOCATED_AT
expert_428,210700,LOCATED_AT
expert_429,430100,LOCATED_AT
expert_430,430100,LOCATED_AT
expert_431,440100,LOCATED_AT
expert_432,440100,LOCATED_AT
expert_433,440100,LOCATED_AT
expert_434,440100,LOCATED_AT
expert_435,430100,LOCATED_AT
expert_436,430100,LOCATED_AT
expert_437,230100,LOCATED_AT
expert_438,230100,LOCATED_AT
expert_439,210105,LOCATED_AT
expert_440,410700,LOCATED_AT
expert_441,410700,LOCATED_AT
expert_442,410700,LOCATED_AT
expert_443,410700,LOCATED_AT
expert_444,340100,LOCATED_AT
expert_445,340100,LOCATED_AT
expert_446,340100,LOCATED_AT
expert_447,340100,LOCATED_AT
expert_448,340100,LOCATED_AT
expert_449,340100,LOCATED_AT
expert_450,130102,LOCATED_AT
expert_451,320200,LOCATED_AT
expert_452,320200,LOCATED_AT
expert_453,120103,LOCATED_AT
expert_454,120103,LOCATED_AT
expert_455,110112,LOCATED_AT
expert_456,110112,LOCATED_AT
expert_457,110115,LOCATED_AT
expert_458,310117,LOCATED_AT
expert_459,511000,LOCATED_AT
expert_460,320200,LOCATED_AT
expert_461,320200,LOCATED_AT
expert_462,330100,LOCATED_AT
expert_463,330100,LOCATED_AT
expert_464,330100,LOCATED_AT
expert_465,330100,LOCATED_AT
expert_466,330100,LOCATED_AT
expert_467,330100,LOCATED_AT
expert_468,120110,LOCATED_AT
expert_469,120116,LOCATED_AT
expert_470,120116,LOCATED_AT
expert_471,120116,LOCATED_AT
expert_472,120116,LOCATED_AT
expert_473,330100,LOCATED_AT
expert_474,130900,LOCATED_AT
expert_475,130900,LOCATED_AT
expert_476,371300,LOCATED_AT
expert_477,371300,LOCATED_AT
expert_478,371300,LOCATED_AT
expert_479,371300,LOCATED_AT
expert_480,371300,LOCATED_AT
expert_481,371300,LOCATED_AT
expert_482,441300,LOCATED_AT
